Brand,Title,Link,Transcript,Group,Views,Likes,Comment,Date
Old Spice,Finer Things | Old Spice,https://www.youtube.com/watch?v=WeVIwdO8Kp4,"how do i know you'll be good enough for

my son

you see he enjoys the finer things in

life like his old spies gentlemen's

blend lavender and mint body wash that

gives him impossibly smooth skin oh i

see that you enjoy the finer things in

life too

is that lavender i smell oh well it's

okay i use this body wash too

really

you used all by old spice body wash

what makes you think so she did it
",M,18309128,798,81,"Jun 25, 2022"
Old Spice,LOL Network | Old Spice,https://www.youtube.com/watch?v=YScEvWqfIqU,"wow kev

really loves sam's club did you guys get

one of these yep thought i was special

turns out he just got a good deal on a

four pack of old spice swagger

antiperspirant

i'm hyped man yo look at this just

wanted to say thank you for being you uh

i thought i'd give you with something

that has as much swagger as you do love

kevin huh best boss ever am i right i

mean what better thank you than a gift

of faith-resistant scent technology

that's ridiculously long-lasting hey

come on man then he took the time to

personally write

you're

you're not special sorry what yeah we

all get the same thing i'm pretty sure

he stamped it on here too what man y'all

hatin dawg it say it right here dear

writer so all y'all say the same thing

yeah

hi yo

huh

see everybody got their presents

really kev like i thought i was fresh

stick of old spice special turns out i'm

just one out of four in a four pack

special

let me get this straight spicy mad that

i i got your gift and it's not

personalized is that what you want spice

some personalized deodorant no no

that's crazy that's crazy what do you

think man you guys know me i can't

resist good deals you know that i'm

sorry i saw that it was 30 off for a

four pack so you know what i did i got

it

okay it reminds me of another great deal

that i got to tom that i got four

writers for the price of one that was

crazy

that's us

you guys he's definitely talking about

us i don't need the attitudes and right

now i feel like i'm getting attacked

i don't like it and i don't need it

i don't need it i wouldn't maybe this is

good enough

or maybe not oh my god at least i tried

did we just get gaslit

[Music]

hey kev man i'm sorry man i didn't know

i'm man enough to say i'm sorry

hey kev

you
",M,8581,261,40,"May 7, 2022"
Old Spice,Skincriminating Evidence | Old Spice,https://www.youtube.com/watch?v=DAZP6XoGr18,"(Deon)
Late night soaks. Suspiciously soft skin...

(Gabrielle)
Deon! It's not what it looks like.

(Deon)
It looks like my Old Spice GentleMan's 
Blend Body Wash...

(Gabrielle)
Oh. Then it is what it looks like.
",M,15690,338,30,"Feb 19, 2022"
Old Spice,Car Ride | Old Spice,https://www.youtube.com/watch?v=U35IZFSdr1c,"(Deon)
Stop the car!

You must think I'm stupid.

(Gabrielle)
Have you lost your mind?

(Deon)
I haven't lost my sense of smell. I know my
Old Spice long-lasting scents anywhere...

(Driver)
That's me, Mr. Cole.

(Gabrielle)
You did not have to lie for me.

(Driver)
Let's talk about a raise.

Smelling delicious.

Let’s talk about a promotion.
",M,56307156,1300,160,"Feb 15, 2022"
Old Spice,Ode to Smell | Old Spice x The Witcher,https://www.youtube.com/watch?v=inSSUfkue6c,"THERE IS A CURSE 
 ‘PON EVERY MAN,
ACROSS THIS DARK 
AND DANGEROUS LAND,
NO-ONE CAN RUN
NO-ONE CAN HIDE
FROM THE PERILS OF B.O!

B.O! B.O! 
NOTHING WE DO 
WILL MAKE IT GO.
OLD SPICE DOES NOT YET EXIST
SO EVERYBODY SMELLS QUITE AWFUL.

IN THE BATHHOUSE
ONE WOULD THINK, 
A WITCHER COULD WASH 
AWAY THE STINK.
BUT WITH THIS SOUP 
OF DIRT AND GRIME,
HIS STENCH SHOULD BE A CRIME.

B.O! B.O! 
NOTHING WE DO 
WILL MAKE IT GO.
ARMPITS FULL OF “YUCK” AND LICE
 OH HOW WE LONG FOR OLD SPICE!

ONE DAY IN THE FUTURE
OLD SPICE  WILL BE OUR SAVIOR
‘TIL THAT DAY COMES
OUR PITS WILL SMELL
AND OUR NOSES CONDEMNED
TO A PUNGENT HELL!

B.O! B.O! 
NOTHING WE DO 
WILL MAKE IT GO…

BUT IN 700 YEARS 
WHEN THE GODS OF SMELL SEE FIT,
LONG LASTING 
OLD SPICE WILL SAVE
OUR ARMPIIIIIIIIIIIIIIIIITTTTTTSSSSS!!!! (CM)
Will nothing save us from
this Unholy curse?

♪There is a curse 'pon every
man♪

♪Across this dark and dangerous
land♪

♪No one can run,
no one can hide♪

♪From the perils of B.O.♪ 

(Peasants)
♪B.O. B.O. Nothing we can do
will make it go♪

♪Old Spice does not
yet exist♪

♪So everyone smells quite
awful♪

(CM)
♪In the bathhouse one would
think♪

♪A witcher could wash
away the stink♪

♪But with this soup of dirt and
grime♪

♪His stench should be a crime♪

(Peasants)
♪B.O. B.O. And nothing we can do
will make it go♪

♪Armpits full of ""Yuck"" and
lice♪

♪Oh how we long for
Old Spice♪

(Mage)
♪One day in the future,
Old Spice will be our savior♪

♪Till that day comes,
our pits will smell♪

♪And our noses condemned to a
punget hell♪

(Peasants)
♪B.O. B.O. Nothing we can do
will make it go♪

(CM)
♪But in 700 years when the Gods
of smell see fit♪

♪Long lasting Old Spice will
save our♪

♪Armpiiiiiiiiiiiitttttsssss!♪

(Peasant 1)
We'll be dead by then.

",M,6809483,4600,469,"Dec 16, 2021"
Old Spice,These Hands | Old Spice,https://www.youtube.com/watch?v=hLoaausDYYw,"You did the two things we always talk
about what's that you worked hard and you

Have fun

Have fun

My man

That's a real star you got there.

Take care of those hands, they're taking you places.

I got hands!

I'ma go pro.   

Have you ever thought about what else
you could be?

Go long son. 

You could be a brain surgeon.

Your hands could operate as skillfully as Dr. Myron Rolle.

or a sports agent like Rich Paul 

You can be as creative as Bryan Blue the Great or an astronaut like Leland D Melvin

Sure, you could play for a team but you could buy a team.

Ownership get to wear the rings first.

I can do all that dad?

You

can be anything you want

with these hands.

",M,500839,251,0,"Nov 16, 2021"
Old Spice,Hang On | Old Spice,https://www.youtube.com/watch?v=XLyiuEK47Go,"Grab my hand! 

Wait 

Are you sweating?

Didn't you use Old Spice Dry Spray?

Of course I did!

I'm not an idiot! 

Don't lie to me Dolph Lundgren!

It says right here — Old Spice has long lasting sweat protection.

I'm telling you, I used it   

Ok, I lied.  

NOOOOOOOOOOOOOO  

Ahhhh

 🎶  Old Spice Whistle 🎶

",M,51107232,5100,582,"Feb 16, 2022"
Old Spice,Marvel Studios’ Shang-Chi X Old Spice Dragonblast: Smell Ready for the Holidays with Simu Liu,https://www.youtube.com/watch?v=DJPz4F-hZRo,"Ahh! (Screams)

Sup, man.

I told you to stop doing that

Doing what

You scared me

Maybe you should stop being scared

What

What

Look man, i'm here to make you become the best version of yourself. 

Do you really want to be the type of person who is scared of a talking dragon?

Well considering I buy you..

A BLAH-BLAH-BLAH. All i'm hearing is excuses. Do you want to be your best or not?

I guess

You guess? YOU GUESS?

Ok, yes. GOD.

That's more like it. Now put on some Old Spice Dragonblast and let's go save the world. 

Save the world? What are you talking about?

WHOA.

Oh yah. 

(Old Spice whistle)

Catch Shang-Chi and the Legend of the Ten Rings November 12 on Disney Plus

",M,2547959,1200,0,"Nov 16, 2021"
Old Spice,LA Rams use the Body Wash GOAT for Moisturization with Old Spice Moisturize with Shea Butter,https://www.youtube.com/watch?v=EEtD91Flo-s,"Ah.

Where is it?

Yo, you good? Bro, have you
seen my Old Spice Body Wash?

It was here before practice and I
can't find it. Your Old Spice?

My Old Spice Moisturize with
Shea Butter. It keeps my skin

nice and soft. No, I haven't
seen any old spice lately. My

fiance keeps taking my body
wash at home. I thought it

would be safe here. Why can't
people just understand that men

have skin too? Unless it was
coach again. Hmm, probably was

coach. He does have moisturized
skin.",M,20956,199,10,"Nov 7, 2021"
Old Spice,Therapy | Old Spice,https://www.youtube.com/watch?v=-J5lFrwy0uw,"(Therapist)
Deon, hand it over. Now how does
that make you feel?

(Deon)
Like a part of me is missing.

(Therapist)
Gabby, how does that make you
feel?

(Gabrielle)
Oh I feel moisturized.

This Old Spice Fiji Hand and
Body Lotion has me

smoother than ever, so...

(Deon)
That's what it does.

(Therapist)
Deon?

(Deon)
I'm going to need minute.

(Therapist)
You take as much time as you
need. 

(Deon)
I...

(Therapist)
And that's our time!

(Therapist)
Beautiful work Deon.
Beautiful work.

Nice work!

(Gabrielle)
Bring the lotion!

(Therapist)
So good. Yes girl!
",M,62324781,2000,418,"Oct 19, 2021"
Old Spice,Gabriel 'Fluffy' Iglesias | Old Spice,https://www.youtube.com/watch?v=4vOoPtCuckA,"[Music]

[Applause]

We have the press from 10 to 12 in the afternoon and

then they're going to use them to cancel everything. I

'm not going to make public appearances

when my skin is so dry and

Gabriel, what are you doing, we

have to go to the interview,

no  I can go on camera if I need

my country. It hydrates my skin so that it

stays soft,

ok, enough, I can't do more than a medium from

your country. Very right watch over, it

also hydrates my skin and leaves it so soft

that



",M,8236,287,25,"Sep 28, 2021"
Old Spice,Captain | Old Spice x Marshmello,https://www.youtube.com/watch?v=VwY9Wdao2QE,"With the help of Old Spice Captain, 

you can spend less time feeling like a roasted marshmallow  

and more time cooking beats

 like this Marshmallo.

",M,27566,508,33,"Sep 22, 2021"
The Man Company,The Gentleman Show | S1E25 | Skin-telligent Talk | Ankush Bahuguna | Dr. Gunjan | Yashwant,https://www.youtube.com/watch?v=Tlb0kQVEUMo,don't forget to like comment share  subscribe and press the Bell icon so  that the next time the episode comes up  you get a notification is your family  like your immediate family or your  extended family do they understand  why you do what you do or do this do you  still feel that 3D judgment to here be  being a man in the beauty industry yeah  hair judgment I think they are still  like getting comfortable yeah yeah as  like I'm growing and people are like  recognizing and appreciating my work but  but  it's maybe it's getting easier because  people are recognizing your words yeah  because they still find it hard to  accept that they can't go out and tell  people okay like my son is like a beauty  content creator oh you're a very much  boy boy looking  um  like there are a lot of boys who also  complain they reject us  [Music]  foreign  foreign  Ty is a lot of times  means your father it's more about  male pleasure as per the patriarchal  society we are living in but that is not  right  hello everyone this is ankush bahugna I  am back with yet another episode of the  gentleman show by the man company  life says  the topic is skin care and um  because then you'll find out why I'm  saying that is  and um this one's gonna be fun it feeds  um so we have today with us a  dermatologist Dr gunjan hi Hi how are  you feeling I'm good thank you are you  still nervous okay this is the first  time that I'm on a podcast but there's  always the first time so I mean don't  worry  so if that makes you feel better  yashwant yashwant Hi how are you hi I'm  good and uh I haven't introduced you for  a reason so the thing is that Dr gunjan  is very new to Instagram  and yeah I just try new products I share  my experience yeah  um are you are you well versed with this  whole world of influencers and content  creators uh not much but yes because  patients come to us and you know they  let us know okay we've been using this  because we were you know advised by  certain you know people on the net or  whatever you do so we are getting to you  know know this kind of a word exists is  that is that is that the reason why  you've just come on Instagram yeah so  it's that's yes the reason because uh  we're forced to come on to Instagram  because of the patience we have to know  what the patients are getting there  right information from and what  information are they getting yeah so  it's important to be out there and put  out the right thing right because  there's so many of them nowadays you  know creating content that you need to  know what exactly is about there for the  patients to you know  dermatologist  people need to know like they should get  the information from the but experts  only but yes  the community that you guys have all  built all the uh can't how do you like  to address yourself  are you are you a beauty Creator are you  uh are you an influencer are you a  content creator or are you just saying  influencer Beauty Creator you're a  beauty Creator yeah because like like  I'll talk about from scan care to makeup  products to Hair Care everything okay so  Beauty Creator yeah take care okay so  it's not just skin care but Beauty on  the whole yeah  like I think that's a huge compliment  key you know uh this is this onset of uh  content creators in the beauty industry  has led to dermatologists  it's because there is so much  misinformation  a lot of content creators don't even  realize what they are talking about and  it is very much needed that uh the maths  and estheticians they share their  experience and everything so people  choose the best and they monitor yeah  exactly there is yeah very very  important there might be some overlap  but then the domain is slightly  different so that dermatologist won't be  trying out different brands and talking  about it right you know we are not into  trying out different cosmetic brands we  are more into what uh technical or  medical information is being put out  there yes  what you do because as a content creator  as a beauty Creator like you like to  call yourself  tell us more about it I think that goes  for every creator  like it doesn't like it's not limited to  Beauty creators yes I'm I'm talking to  you as a Creator only I just want you to  share your experience about  how difficult it is to sometimes explain  to people  it is very difficult because they just  feel like you are just applying products  and you're just talking about products  what is it like like how's it working  like how are you making money all of  that so  when uh when Beauty creators say uh okay  I've been trying out these products for  like a week or a month does it actually  happen  I can talk about myself I can't I yeah I  can't avoid others I uh like I always  make clear like whenever a branch reach  out to me I always tell them that I need  a like a four week time or something  before I even talk about the product  yeah I mean even I recently uh did this  brand collab I'm not gonna name the  brand I did this brand collaboration  where  um I was like if it's a skin care  product it's not a makeup product that  you can just apply and find out if it  works yeah skincare products take time  for you too obviously like other visible  difference at least you know that it's  not getting worse or at least it feels  healthier whatever like there are some  products like a cleanser or maybe a  sunscreen which you can use a couple of  times and figure out like whether it's  working like a week maybe you can see  like if it's not like ruining your skin  I think the concept skincare products  usually as a Creator you've tried so  many products  mostly the exfoliants and serums like  the treatments basically right so yeah  if you are using a vitamin C or say  retinoid stuff you need four five six  weeks to even see  like some changes so uh Dr gunjan is uh  looking at both us creators talking  about skin care and you know exports is  like uh I have formal education in this  hello but uh Dr kunjun what is your  honest opinion on like after  we've already established  influences  you know what I mean so as someone who's  qualified in this field what is your  honest opinion on influences then you  have to be absolutely honest  um Frankly Speaking I mean I don't I'm  not very familiar with the work of the  influencers because uh I've not been  going on to the social media myself to  check out uh you know  it's just when the patients come to us  they're already using certain products  and we assume that they've got the  information from the net and uh you know  from such sources so it's not as if  we've checked out the videos exactly  what has been put out we are getting  into that but and a lot of  dermatologists are creating content  themselves but right huh actually  there's like a big overlap now that's  what dermatical specials is a very open  to like vitamin C or retinoids because  the pharmaceutical companies have their  products the cosmetic companies are  their products so there is a clash you  know so we are basically more concerned  about the exact content or the  formulation then which brand you are  using is up to you right right and yes  uh have you ever thought about this I am  a content creator but you know like a  lot of creators have now started saying  like you just mentioned if you have a  skin allergy or if you have like a skin  condition then influences are not the  people that you need to look up to  because you need to consult a  dermatologist yeah so how do you  differentiate  and when do you need to go to a  dermatologist I mean I get DMS from  people they send me pictures like with  their face acne rashes and stuff and I  just tell them you have to see a dermat  go see a doctor I'm not the one because  I don't have like a medical degree so I  can only talk about the products and  share my experience I can't give you  medical advice  you know you have um  you know because skincare it's a little  unpredictable sometimes yeah it is it's  very personal that's what it's very  first you nobody can really predictions  foreign no I don't recommend I just  share my experience it's up to the  person I just talk about like the  results I have seen so as as a content  creator do you also how do you keep  yourself up to date with all the  knowledge products  um  hyaluronic acid became very popular yeah  uh like I think materials use the latest  like some peptides and you know like all  these Pokemon sounding names  but I also keep reading up because there  are so many new actives and chemicals  for that matter even we have to read it  up because this is not something we were  taught in the medical school person  right huh right so even we have to  update ourselves once in a while because  there's so many things out there that  you know and there's so many you know  new things coming up every now and then  that you have to update yourself but as  a dermatologist are you also personally  into skincare  yes to some extent I would say  of course I mean like um I first I mean  um I'm on the wrong side of 40. so I've  taken the car up till now I've taken a  concert I've not gone into invasive skin  care you know I've stayed away from  Botox that's a personal choice right A  lot of people even in their 30s and  totally acceptable nowadays want to go  in for such treatments I have not so  even being a dermatologist and uh you  know when I have access to all these  things I've stayed away from it but  that's a personal choice  I'm sure a lot of my listeners right now  will be wondering here Botox  so Botox is more of something which you  inject into your skin to relax the  muscles so like you have deep creases or  whatever exactly so you have crow's feet  or you know a deep forehead  so deep lines go relax the muscle is  relaxed when you inject it into it and  gently last for for three to six months  effects once you're into it you have to  continue it because the effect will last  only for three to six months  exactly the second is fillers um so  Botox is more for the upper face where  you have those creases and all that  fillers is something which you inject  into it so to  um you know if there's a loss of fat  pads you know there's sunken eyes or  sunken cheeks or to Contour your face or  jawline  though personally I'm not doing these  procedures but that is what is done yeah  so inject things into yours you know  skin which you know kind of fills up the  space to replace the fat loss to Contour  your face or jawline or lip contouring  or whatever yes have you ever gotten  confused with these Advanced Skin Care  fillers generally last you forever  like I said I follow a lot of like dorm  ads estheticians and I'll read about  them so yeah so keep yourself updated  basically like we have to give it to  them like so many like uh estheticians  dermats cosmetic formulators like all of  them are their own social media they're  sharing eight minutes  that's tradition and a dermatologist  so uh I would call myself a  dermatologist because my practice mainly  clinical Dermatology the problem areas  but yes you can't keep away from  cosmetic nowadays because you get a lot  of patients who are wanting advice  regarding cosmetics and all that so yes  I'm into cosmetic also but not purely  cosmetic then there are certain  dermatologists who are purely into  cosmetic procedures okay so they're more  into you know medical facials and or  whatever these Dermatology procedures  Beauty procedures kind of thing so their  focus area is cosmetic procedures and  less of problem area of course they can  deal with them and they are aware of the  problem so they are better better at  handling the Cosmetic procedures because  in case there is a problem area they can  deal with that too yeah yeah but the  focus is mainly the Cosmetic procedures  so I want to ask yes like you were just  saying uh you started doing skin care  then you got into Korean skincare and it  made a difference to your skin that's  when you became a Creator so what is  that earliest memory in your life when  you realized key I I like skincare  I think after I got into Korean beauty  uh within a year I started like noticing  some difference like I had like very  severe like acne prone skin oh wow yeah  it's not there anymore like it is like I  do get breakouts but yeah it's much  better than okay yeah how it was so yeah  like once I saw the results I like like  this is like cool I will and I like you  enjoy doing it after a point I think  that's how I see it like after a long  day I have to like engage in my like  nighttime routine you know it's it's so  interesting how different people feel  differently about skin care like a lot  of people love skin care because it  shows a difference to their skin  obviously  why I love skincare is because I don't  know it just feels very therapeutic  it's like tomorrow  put on like a nice moisturizer let your  skin absorb it and whatever and when you  put on a face mask and it's drying it's  the only time I get when I'm not doing  anything I'm not stressing yeah so I've  realized that over time I started  skincare cookies  I just randomly started doing skincare  and then it started showing a difference  to my skin like my skin tones  and ctm actually made a big difference  to my you know the way my skin looked  and then I it became a habit  it makes me feel really calm exactly  like even I started like initially it  was like to treat my acne basically but  after a point like I started enjoying it  so I started buying new products like  whatever was there  it makes you feel good about yourself  yeah yeah exactly so have you ever  yashwant have you ever seen  have you ever seen men in your family do  skin care before you not really it was  my mom I think who like introduction  yeah she was the one she always made  sure that I was using sunscreen so I  used to play tennis basically so she was  like you have to apply sunscreen okay so  yeah sunscreen  so basically my dad's side of family was  like Dusky and my mom is like very fair  so she made sure that like we are  applying sunscreen so we don't get dark  basically yeah um  actually like this obsession with  fairness and skin care as a  dermatologist doctor yes you still get a  lot of you know patients who are you  know and wanting fairness as the end  result kind of thing so you have to  counsel them that you have to be  comfortable in the skin complexion that  God has given you it should be a clean  healthy skin even skin tone that is the  main aim of any cosmetic treatment it is  not fairness  the differences initially it was just  the female patients used to come in for  this thing but nowadays you get a lot of  male patients who are you know conscious  about their complexion  umedding females used to drop in you  know complexion whatever now you get a  lot of male patients who are about to  have you know get um married or whatever  and they're conscious about their  complexion and all that you know I'll  admit there was a phase where I think  also because my sisters went through  that sort of uh conditioning  fairness cream I'm sure everybody in  India has at some point had that phase  so I also had that phase where I would  you know  and then  exactly nobody's ever turned fair by any  fairness  the advertisement the power of  advertisement  s and you know it's so funny that uh men  usually don't talk about skin care they  don't want to associate themselves with  skin care but kittens  this is a legendary they don't want to  accept it that they are using yeah so  yeah so that's what I wanted to talk  about  men don't  men find it cool to say  you know it's become like a flex  key I'm not into all of this  why why is that because basically like  like as we grow like we are conditioned  in a way like as guys we don't have to  like take care of ourselves we have to  be rough and stuff yeah like girls are  supposed to like apply products and look  beautiful guys don't have to like look  after their skin  and have things change now  um I have daughters so I can't really  say about the younger generation but yes  when I see the patients that come in yes  I'm not talking about my personal family  but yes when I see the patients who come  in um you get a lot of you know on  teenage boys who are worried about their  skin or even the younger group who also  I think basic skin care and hygiene is  mandatory so irrespective of the gender  that is mandatory you know so certain  everybody needs to be a little  presentable and well groomed so some  basic things are mandatory Advanced Skin  Care As I said is of course a privilege  you may or may not want to go for it you  might not be using a very complicated  skincare when you are not you know um  it's not necessary that you use a very  complicated skin care regime but certain  Basics and hygiene of course is  mandatory is your family like your  immediate family or your extended family  do they understand  why you do what you do or do this do you  still feel that is being a man in the  beauty industry yeah hair judgment I  think they are still like getting  comfortable yeah yeah as like I'm  growing and people are like recognizing  and appreciating my work but but  it's maybe it's getting easier because  people are recognizing your words yeah  because they still find it hard to  accept that they can't go out and tell  people okay like my son is like a beauty  content creator is  yeah and we all we've all discussed  multiple times the whole conversation  about men in makeup and you know the  whole perception that is there around  yeah so yeah so you still feel that even  even though you get so much love on the  internet for the content that you make  yeah in real life so we we're not there  yet yeah we are not so so then how do  you deal with it  you know you're still doing something  which is  you can say unconventional but the  content creation is fairly new yeah but  I think  as long as I am happy I don't care what  people think beat my family or the other  people so yeah  I think subscribe  exactly so it will make a little  difference but there is no overnight  Solutions  no no there are patches which she's  talking about you like put it on your  acne dehydrates foreign  coming up or something so it's like  emergency remedy kind of a thing one off  thing once in a while it's not a routine  a treatment for acne and there is no  shortcut for acne treatment any patches  or your drying Solutions are gonna be  expensive  drying solution it's like I recommend it  to my friend he's like yeah  exactly I mean you don't have to resort  to these things you need you need to  take care of your acne properly take  proper treatment so that you know you  overcome the bout of acne yeah but these  are like uh short-term you know these  are this is not a long-term solution for  your act yeah as a Creator and I'm  totally um sorry I'm sorry I'm totally  okay if they don't invest into such  overnight remedies and rather invest  into long-term treats very long-term  treatment sorry so it's a routine it's  like my life  especially with someone who's not into  skincare so much but if you are having  problem you know moderate to severe acne  once in a while breakout is fine but  then if you are having acne that really  uh you know makes a person conscious or  aware then they really are you know open  to treatments Ah that's true because  self-confidence  exactly so most of the patients are  desperate to get rid of them anyhow and  then  ready to follow  so  when when men come for these I know that  happening  um  esthetician I know that you're not an  esthetician but I'm sure you know many  yes so when men come for these Botox and  fillers is I think it's getting more  popular amongst men also now absolutely  are they secretive about that  uh because tabuto here like even with  women there's a type of people exactly I  mean I think in general it's not gender  specific in general people don't really  talk about it too much yeah they want to  get it done but they don't want to  what's the point I get it I get it but I  also feel that Botox fillers still  people accept  they associate that with women so when  men come and get it done are they you  know are they uncomfortable with it  themselves I don't think so oh you know  um um most of my colleagues they do  discuss their male patients and you know  even men get you know decreases and on  their foreheads and all that  um so I think they're quite comfortable  but I think for fillers and Botox and  everything like even the girls are not  comfortable sharing it because there is  a lot of shaming shaming exactly that's  what I'm saying people don't you don't  want people to know that you've got it  done so that is not gender specific  that's true for what males and females  and  the men that you think are very manly  according to you and you know so you  shame other people on the internet for  being into makeup skin care all your  favorite Heroes apply makeup all your  favorite Heroes uh get started even for  you know female actresses oh she got  this done I mean everybody is getting in  this what's so different about her you  know and like he said how do you look  that young at that age because I look at  I look at like all these Heroes who are  you know  so like they're they're as old as some  of my relatives but both  normal 50 year old professional demand  to look good on screen or whatever young  50 year old actors  really give that unrealistic image like  you can't like expect that result from  like applying topical products basically  on your skin and because  men are not used to hearing skin care is  actually very common yeah he's got a  point it's because you know people at  times you know what these are the  unrealistic expectations you know when  patients come in for cosmetic procedures  so that is not the point because all  these Heroes and actors and like  whenever they are asked how do you like  you look so young and stuff it would be  like  exactly  so so unrealistic expectations have to  be managed  camera or photoshop it's not Photoshop  videos  foreign  who is the modern gentleman  yashwant  I think who's Liberal Liberal yeah you  have to be Progressive and like  basically open to  like other people like you shouldn't be  like uh you shouldn't have like those  preconceived notion about peoples yeah  judgmentally yeah basically you should  be like just broad-minded and yeah  that's pretty cool  that's nice what about you  difficult to put it out in a word but I  would say confident and comfortable in  this skin I think they're comfortable  talking about their issues so choose  both okay  comfortable  yeah okay great so we got the answers  thank you so much it was great having  both of you and I think it's great that  we had both the perspectives on this  discussion  one-sided conversation so thank you so  much for joining us and um I hope this  was a good experience for you guys yeah  yeah it was thank you so much all right  so that was me ankush on another episode  of the gentleman show by the man company  now we're signing off and we'll see you  next time in the next episode with yet  another interesting topic and don't  forget to give us feedback on social  media  um  so yeah tell us on social media tag us  at the rate the man company at the rate  and I'll see you next time I already  said that sorry anyway bye  [Music],M,120,5,0,"Jun 30, 2023"
The Man Company,Vitamin C Face Wash | Vitamin C & Niacinamide,https://www.youtube.com/watch?v=wZJ89rhlofQ,"[Music]

foreign

[Music]
",M,289,3,4,"May 16, 2023"
